Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,671.0541,1.766,0.407 ,34.810 ,68.633 ,17929.615 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,671.0541,1.766,-1.802 ,39.640 ,75.891 ,19825.521 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,672.9394,1.766,-2.426 ,47.690 ,91.044 ,23784.229 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,672.9394,1.766,-2.316 ,52.220 ,100.033 ,26132.393 
ALMA,01:34:18.7372,-29:25:13.752,2019-08-20T08:51:12.144,1.13,0.004,674.0806,1.766,-3.173 ,22.030 ,40.005 ,10450.782 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,674.9338,1.61,0.268 ,19.800 ,39.076 ,10207.985 
ALMA,01:34:18.7372,-29:25:13.752,2019-08-20T08:51:12.144,1.13,0.004,675.8237,1.336,-1.780 ,18.930 ,35.322 ,9227.440 
ALMA,14:08:10.5913,-41:23:58.753,2023-06-11T00:49:03.344,0.94,0.003,676.0558,1.865,-0.517 ,12.400 ,23.786 ,11046.885 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,676.5743,0.8597,1.657 ,23.280 ,47.285 ,12352.578 
ALMA,14:08:10.5913,-41:23:58.753,2023-06-11T00:49:03.344,0.94,0.003,678.053,1.867,-0.779 ,7.869 ,14.644 ,6800.870 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,678.8945,0.7816,1.766 ,35.650 ,71.639 ,18714.677 
ALMA,14:08:10.5913,-41:23:58.753,2023-06-11T00:49:03.344,0.94,0.003,680.0111,1.865,-0.140 ,13.270 ,25.868 ,12013.796 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,680.8865,1.641,-0.864 ,27.350 ,52.741 ,13777.820 
ALMA,14:08:10.5913,-41:23:58.753,2023-06-11T00:49:03.344,0.94,0.003,681.9516,1.861,-0.547 ,17.360 ,33.478 ,15547.786 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,682.9812,1.766,-2.231 ,44.850 ,85.673 ,22381.048 
