Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,887.2989,1.758,185.600 ,1084.000 ,2310.197 ,1072906.366 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,888.9599,1.648,296.300 ,974.300 ,2205.889 ,1024463.607 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,889.0528,1.656,-138.400 ,1318.000 ,2444.827 ,1135431.810 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,890.8963,1.563,278.000 ,1062.000 ,2359.478 ,1095793.496 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,890.9907,1.813,-24.220 ,1772.000 ,3448.829 ,1601712.450 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,893.8826,1.742,139.700 ,1277.000 ,2642.569 ,1227267.397 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,895.7224,1.813,-35.070 ,1471.000 ,2848.031 ,1322688.602 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,897.5897,1.531,141.300 ,1735.000 ,3541.831 ,1644904.392 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,898.1393,1.719,8.854 ,611.200 ,1206.782 ,560456.018 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,899.5116,1.735,-12.770 ,1612.000 ,3146.686 ,1461390.285 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,899.765,1.539,-107.400 ,738.000 ,1339.050 ,621884.631 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,901.5683,1.648,258.000 ,1120.000 ,2453.155 ,1139299.480 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,901.6078,1.735,3.351 ,864.700 ,1698.128 ,788648.357 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,903.2057,1.516,-91.650 ,856.700 ,1587.448 ,737245.803 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,903.3797,1.672,343.600 ,919.200 ,2145.195 ,996276.067 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,904.9,1.469,121.900 ,1511.000 ,3083.400 ,1431998.887 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,906.7622,1.813,164.700 ,1665.000 ,3428.033 ,1592054.458 
